LookupID,Geo Place Name,Year,Borough
412,Jamaica and Hollis (CD12),2010,Queens
413,Jamaica and Hollis (CD12),2020,Queens
414,Throgs Neck and Co-op City (CD10),2011,Bronx
415,Throgs Neck and Co-op City (CD10),2010,Bronx
416,South Ozone Park and Howard Beach (CD10),2015,Queens
417,Throgs Neck and Co-op City (CD10),2020,Bronx
418,South Ozone Park and Howard Beach (CD10),2020,Queens
419,Jamaica and Hollis (CD12),2016,Queens
420,Fort Greene and Brooklyn Heights (CD2),2013,Brooklyn
421,Fort Greene and Brooklyn Heights (CD2),2012,Brooklyn
422,Greenpoint and Williamsburg (CD1),2014,Brooklyn
423,Greenwich Village and Soho (CD2),2014,Manhattan
424,Mott Haven and Melrose (CD1),2014,Bronx
425,Southeast Queens,2010,Queens
426,Southeast Queens,2011,Queens
427,Coney Island - Sheepshead Bay,2015,Brooklyn
428,Rockaways,2010,Queens
429,Rockaways,2011,Queens
430,Southeast Queens,2015,Queens
431,Southeast Queens,2016,Queens
432,Southeast Queens,2020,Queens
433,Bensonhurst - Bay Ridge,2015,Brooklyn
434,Rockaways,2015,Queens
435,Coney Island - Sheepshead Bay,2011,Brooklyn
436,High Bridge - Morrisania,2011,Bronx
437,High Bridge - Morrisania,2014,Bronx
438,Bensonhurst - Bay Ridge,2009,Brooklyn
439,Southeast Queens,2011,Queens
440,Southeast Queens,2009,Queens
441,Rockaways,2009,Queens
